,callDateTime,priority,district,description,callNumber,incidentLocation,location
1046575,11/13/2015 5:32,Non-Emergency,SW,Private Tow,P153170324,1000 ARION PARK RD,"(39.2672170,-76.6865150)"
1046576,11/13/2015 5:33,Medium,CD,911/NO  VOICE,P153170325,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
1046577,11/13/2015 5:33,Low,SD,INTOXICATED PERS,P153170326,1500 RUSSELL ST,"(39.2744610,-76.6278710)"
1046578,11/13/2015 5:33,High,ND,SILENT ALARM,P153170327,3600 FALLS RD,"(39.3309611,-76.6351760)"
1046579,11/13/2015 5:36,Medium,WD,SUSPICIOUS PERS,P153170328,W FAYETTE ST/N MONROE ST,"(39.289475,-76.647014)"
1046580,11/13/2015 5:31,Medium,NE,UNFOUNDED,P153170329,HAVENWOOD RD/KELWAY RD,"(39.340989,-76.594747)"
1046581,11/13/2015 5:37,Medium,CD,UNFOUNDED,P153170330,800 DOLPHIN ST,"(39.2968919,-76.6332543)"
1046582,11/13/2015 5:40,Medium,CD,SUSPICIOUS PERS,P153170331,500 BLK W PRESTON ST,"(39.2996215,-76.6256254)"
1046583,11/13/2015 5:41,Medium,SE,911/NO  VOICE,P153170332,3400 EASTERN AV,"(39.2867760,-76.5688840)"
1046584,11/13/2015 5:45,High,NE,RA POLICE,P153170333,5500 DAYWALT AV,"(39.3279460,-76.5378290)"
1046585,11/13/2015 5:46,Non-Emergency,ND,Repairs/Service,P153170334,FRONT,"(0.000000,0.000000)"
1046586,11/13/2015 5:50,Low,NW,RECOVERED VEH,P153170335,3300 CLARKS LN,"(39.3665960,-76.6964850)"
1046587,11/13/2015 5:48,Non-Emergency,ED,TOWED VEHICLE,P153170336,900 N LINWOOD AV,"(39.3015300,-76.5770530)"
1046588,11/13/2015 5:48,Medium,SD,DISORDERLY,P153170337,500 W PRATT ST,"(39.2862655,-76.6221055)"
1046589,11/13/2015 5:57,Medium,SD,DISORDERLY,P153170340,500 W PRATT ST,"(39.2862655,-76.6221055)"
1046590,11/13/2015 5:56,Low,CD,DESTRUCT PROPTY,P153170341,400 W MONUMENT ST,"(39.2973235,-76.6214370)"
1046591,11/13/2015 6:00,Medium,WD,911/NO  VOICE,P153170342,2000-45 WINCHESTER ST,"(39.3018367,-76.6515506)"
1046592,11/13/2015 6:02,Medium,NE,911/NO  VOICE,P153170343,2500-1 HARFORD RD,"(39.3169740,-76.5954540)"
1046593,11/13/2015 6:02,Medium,WD,911/NO  VOICE,P153170344,2000-45 WINCHESTER ST,"(39.3018365,-76.6515506)"
1046594,2/24/2017 8:37,Non-Emergency,CD,Court,P170550671,TCE,"(39.312001,-76.599273)"
1046595,11/11/2015 1:31,High,NE,Traffic Stop,P153150170,5800 BLK DAYWAL,"(,)"
1046596,11/11/2015 1:30,Non-Emergency,NE,Repo,P153150172,1200 CEDARCROFT RD,"(39.3696594,-76.6000804)"
1046597,11/11/2015 1:35,Medium,WD,911/NO  VOICE,P153150173,2000 WINCHESTER ST,"(39.3018365,-76.6515506)"
1046598,11/11/2015 1:35,Medium,ND,DISORDERLY,P153150174,E 0ST ST/GUILFORD AV,"(39.325928,-76.613370)"
1046599,11/11/2015 1:39,Non-Emergency,SE,TOWED VEHICLE,P153150176,400 N KENWOOD AV,"(39.2958960,-76.5780950)"
1046600,11/11/2015 1:37,High,SW,ROBBERY UNARMED,P153150177,DESOTO RD/WASHINGTON BL,"(39.264617,-76.654748)"
1046601,11/11/2015 1:40,Low,SE,Transport,P153150178,CENTRAL BOOKING,"(39.298946,-76.610470)"
1046602,11/11/2015 1:46,Low,CD,HIT AND RUN,P153150191,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
1046603,11/11/2015 1:51,High,ND,AGGRAV ASSAULT,P153150192,2400 N CHARLES ST,"(39.3163859,-76.6169039)"
1046604,11/11/2015 1:50,Medium,ED,DISORDERLY,P153150193,COLVIN ST/HILLEN ST,"(39.295874,-76.606867)"
1046605,11/11/2015 1:52,Low,CW,DEPT ACCIDENT,P153150194,2700 W BALTIMORE ST,"(39.2878060,-76.6591550)"
1046606,11/11/2015 1:53,Medium,CW,Lab Request,P153150195,1700 EASTERN AV,"(39.2856051,-76.5933660)"
1046607,11/11/2015 1:55,High,NE,Traffic Stop,P153150196,2500 HARFORD RD,"(39.3169142,-76.5955223)"
1046608,11/11/2015 1:51,Medium,SD,COMMON ASSAULT,P153150197,1700 COLE ST,"(39.2821865,-76.6434582)"
1046609,11/11/2015 1:56,Medium,ED,DISORDERLY,P153150200,COLVIN ST/HILLEN ST,"(39.295874,-76.606867)"
1046610,11/11/2015 1:57,High,ND,SILENT ALARM,P153150201,3300 CLIPPER MILL RD,"(39.3270587,-76.6377118)"
1046611,11/11/2015 1:53,Non-Emergency,NE,Repo,P153150202,1000 E 33RD ST,"(39.3289710,-76.6015390)"
